"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"305","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",0.000842144613927176,0.0409467923494718,1,9,"ENSG00000121236","MM909_11"
"306","GOBP_UBIQUITIN_RECYCLING",0.001216241356915,0.0409467923494718,1,13,"ENSG00000121236","MM909_11"
"307","GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX",0.00345837152082384,0.0873238809008021,1,37,"ENSG00000139990","MM909_11"
"308","GOMF_DEUBIQUITINASE_ACTIVITY",0.0109946195437426,0.17869779034324,1,118,"ENSG00000114374","MM909_11"
"309","GOMF_UBIQUITIN_LIKE_PROTEIN_PEPTIDASE_ACTIVITY",0.0121070505934826,0.17869779034324,1,130,"ENSG00000114374","MM909_11"
"310","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL",0.0123849953703236,0.17869779034324,1,133,"ENSG00000114374","MM909_11"
"311","GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX",0.0168232570182427,0.212393619855314,1,181,"ENSG00000139990","MM909_11"
"312","GOBP_PROTEIN_POLYUBIQUITINATION",0.0208770502835881,0.234286897626933,1,225,"ENSG00000121236","MM909_11"
"313","GOCC_UBIQUITIN_LIGASE_COMPLEX",0.0288515154604119,0.29140030615016,1,312,"ENSG00000139990","MM909_11"
"314","BIOCARTA_ATRBRCA_PATHWAY",1,1,0,22,"","MM909_11"
"315","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_11"
"316","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_11"
"317","BIOCARTA_HIF_PATHWAY",1,1,0,15,"","MM909_11"
"318","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_11"
"319","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_11"
"320","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_11"
"321","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_11"
"322","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_11"
"323","GCM_USP6",1,1,0,69,"","MM909_11"
"324","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_11"
"325","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_11"
"326","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_11"
"327","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_11"
"328","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_11"
"329","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,109,"","MM909_11"
"330","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_11"
"331","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,22,"","MM909_11"
"332","GOBP_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,8,"","MM909_11"
"333","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION",1,1,0,10,"","MM909_11"
"334","GOBP_PROTEIN_K11_LINKED_UBIQUITINATION",1,1,0,30,"","MM909_11"
"335","GOBP_PROTEIN_K27_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_11"
"336","GOBP_PROTEIN_K29_LINKED_DEUBIQUITINATION",1,1,0,5,"","MM909_11"
"337","GOBP_PROTEIN_K29_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_11"
"338","GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION",1,1,0,26,"","MM909_11"
"339","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",1,1,0,65,"","MM909_11"
"340","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION",1,1,0,30,"","MM909_11"
